Chikorita,grass	
Zoroark,dark	
Regice,ice	
Lucario,steel	
Solgaleo,psychic	
Audino,fairy	
Cofagrigus,ghost	
Poipole,poison	
Chandelure,ghost	
Caterpie,bug	
Hydreigon,dark	
Arceus,normal	
Lycanroc,rock	
Darkrai,dark	
Snorlax,normal	
Electivire,electric	
Scyther,bug	
Muk,poison	
Ninetales,fairy	
Deoxys,psychic	
Beautifly,bug	
Giratina,ghost	
Entei,fire	
Simisage,grass	
Regirock,rock	
Groudon,ground	
Sudowoodo,rock	
Raikou,electric	
Rayquaza,dragon	
Melmetal,steel	
Reshiram,dragon	











